phecode	phenotype	sex	category	icd9_ukb_num	icd9_ukb	icd10_ukb_num	icd10_ukb
8	Intestinal infection		infectious diseases	21	002.0, 003.0, 003.9, 004.3, 005.0, 005.9, 006.3, 006.9, 007.1, 007.2, 007.8, 008.0, 008.4, 008.49, 008.5, 008.6, 008.8, 009.0, 009.1, 009.2, 009.3	12	A00.9, A01.1, A01.4, A05.9, A06.0, A06.2, A06.4, A06.6, A06.7, A06.9, A07.9, A09
8.5	Bacterial enteritis	Both	infectious diseases	9	002.0, 003.0, 003.9, 004.3, 005.0, 008.0, 008.4, 008.49, 008.5	12	A01.0, A02.0, A02.2, A02.8, A02.9, A03.1, A03.3, A03.9, A04.5, A04.8, A04.9, A05.8
8.51	Intestinal e.coli	Both	infectious diseases	1	008.0	4	A04.0, A04.1, A04.3, A04.4
8.52	Intestinal infection due to C. difficile	Both	infectious diseases	NA	NA	1	A04.7
8.6	Viral Enteritis	Both	infectious diseases	2	008.6, 008.8	6	A08.0, A08.1, A08.2, A08.3, A08.4, A08.5
8.7	Intestinal infection due to protozoa	Both	infectious diseases	2	007.1, 007.8	4	A06.1, A07.1, A07.2, A07.8
10	Tuberculosis		infectious diseases	8	011.9, 011.92, 013.0, 015, 016.0, 017.0, 017.2, 137.3	41	A15.0, A15.1, A15.2, A15.3, A15.4, A15.5, A15.6, A15.7, A15.9, A16.0, A16.1, A16.2, A16.3, A16.4, A16.5, A16.7, A16.9, A17.0, A17.8, A18.0, A18.1, A18.2, A18.3, A18.4, A18.5, A18.7, A18.8, A19.0, A19.2, A19.9, B90.0, B90.1, B90.2, B90.8, B90.9, K67.3, M01.1, M49.0, M90.0, N33.0, N74.1
31	Diseases due to other mycobacteria		infectious diseases	NA	NA	2	A31.8, A31.9
38	Septicemia		infectious diseases	8	003.1, 036.2, 038.0, 038.1, 038.2, 038.4, 038.8, 038.9	4	A41.4, A41.8, A41.9, A42.7
38.1	Gram negative septicemia	Both	infectious diseases	4	003.1, 036.2, 038.0, 038.4	10	A02.1, A39.2, A39.4, A40.0, A40.1, A40.2, A40.8, A40.9, A41.3, A41.5
38.2	Gram positive septicemia	Both	infectious diseases	2	038.1, 038.2	5	A22.7, A40.3, A41.0, A41.1, A41.2
41	Bacterial infection NOS		infectious diseases	11	023.9, 027.0, 033.9, 041.0, 041.1, 041.2, 041.4, 041.5, 041.7, 041.8, 041.9	40	A15.9, A20.9, A23.9, A24.4, A26.0, A26.9, A28.0, A28.8, A32.1, A32.7, A32.8, A32.9, A36.8, A36.9, A37.0, A37.9, A39.8, A39.9, A42.1, A42.2, A42.8, A42.9, A48.0, A48.2, A48.3, A48.8, A49.2, A49.3, A49.8, A49.9, B47.9, B96.3, B96.4, B96.5, B96.6, B96.7, B96.8, J20.0, J20.1, M00.1
41.1	Staphylococcus infections	Both	infectious diseases	1	041.1	5	A49.0, B95.6, B95.7, B95.8, M00.0
41.2	Streptococcus infection	Both	infectious diseases	1	041.0	13	A38, A40.1, A40.2, A49.1, B95.0, B95.1, B95.2, B95.3, B95.4, B95.5, J03.0, J20.2, M00.2
41.21	Rheumatic fever / chorea	Both	infectious diseases	NA	NA	2	I00, I02.9
41.4	E. coli	Both	infectious diseases	1	041.4	1	B96.2
53	Herpes zoster		infectious diseases	2	053.1, 053.9	3	B02.7, B02.8, B02.9
53.1	Herpes zoster with nervous system complications	Both	infectious diseases	1	053.1	2	B02.2, G53.0
54	Herpes simplex		infectious diseases	3	054.0, 054.1, 054.9	7	A60.0, A60.1, B00.0, B00.1, B00.2, B00.8, B00.9
70	Viral hepatitis	Both	infectious diseases	5	070.1, 070.3, 070.5, 070.9, 573.1	7	B17.2, B17.8, B18.8, B18.9, B19.9, B25.1, Z22.5
70.1	Viral hepatitis A	Both	infectious diseases	1	070.1	1	B15.9
70.2	Viral hepatitis B	Both	infectious diseases	1	070.3	4	B16.0, B16.9, B18.0, B18.1
70.3	Viral hepatitis C	Both	infectious diseases	NA	NA	2	B17.1, B18.2
70.4	Chronic hepatitis	Both	infectious diseases	1	571.4	7	K71.5, K73.0, K73.1, K73.2, K73.8, K73.9, K75.4
70.9	Hepatitis NOS	Both	infectious diseases	1	573.3	12	K71.0, K71.2, K71.3, K71.6, K71.7, K71.8, K71.9, K75.2, K75.3, K75.8, K75.9, K76.4
71	Human immunodeficiency virus [HIV] disease		infectious diseases	NA	NA	1	Z21
